id_congresista	nombres	apellidos	completo	partido	partidos_anteriores	camara	num_votos	tipo_periodo	comision	autorias_aprobadas	ponencias	investigado	genero	posicion_ideologica	dep_circuncripcion	dep_mayor_vot	reemplazo
45	Jacobo Faustino	Gómez Toro	Gómez Toro, Jacobo Faustino	Partido Social de Unidad Nacional - Partido de la U	Colombia Democrática, Partido Social de Unidad Nacional - Partido de la U	Senado	0	Reemplazo temporal		0	3		Masculino	None	Circunscripción Nacional	La Guajira	José Gonzalo Gutiérrez
1278	Luzelena	Restrepo Betancourt	Restrepo Betancourt, Luzelena	Colombia Democrática	Colombia Democrática	Senado	8367	Reemplazo permanente	Segunda,Cuarta	0	76		Femenino	None	Circunscripción Territorial de Bogotá	Distrito Capital	Álvaro Alfonso García Romero
85	Luis Emilio	Sierra Grajales	Sierra Grajales, Luis Emilio	Conservador Colombiano	Coalición, Conservador Colombiano	Senado	45542	Titular de la curul	Sexta	2	15		Masculino	None	Circunscripción Nacional	Caldas	William Alfonso Montes Medina
875	Milton Arlex	Rodríguez Sarmiento	Rodríguez Sarmiento, Milton Arlex	Partido Social de Unidad Nacional - Partido de la U	Conservador Colombiano, Partido Social de Unidad Nacional - Partido de la U	Cámara de Representantes	46021	Titular de la curul	Primera	0	30		Masculino	None	Circunscripción Territorial de Cundinamarca	Cundinamarca	William Alfonso Montes Medina
827	Jesús León	Puello Chamie	Puello Chamie, Jesús León	Conservador Colombiano	Conservador Colombiano	Cámara de Representantes	40409	Titular de la curul	Tercera	0	19		Masculino	None	Circunscripción Territorial de Bolívar	Bolívar	Julio Alberto Manzur Abdala
874	Carlina de los Angeles	Rodríguez Rodríguez	Rodríguez Rodríguez, Carlina de los Angeles	Movimiento Nacional Conservador	Conservador Colombiano, Conservador Colombiano, Movimiento Nacional Conservador	Senado	42649	Titular de la curul	Sexta	4	12		Femenino	None	Circunscripción Nacional	Cundinamarca	Ciro Ramírez Pinzón
91	Mario Enrique	Varón Olarte	Varón Olarte, Mario Enrique	Movimiento Nacional	Cambio Radical, Conservador Colombiano, Convergencia Ciudadana, Movimiento Nacional	Senado	54554	Titular de la curul	Cuarta	0	10		Masculino	None	Circunscripción Nacional	Atlántico	Luis Humberto Gómez Gallo
968	Antonio	Valencia Duque	Valencia Duque, Antonio	Alas Equipo Colombia	Alas Equipo Colombia, Equipo Colombia	Cámara de Representantes	34545	Titular de la curul	Quinta	1	15	Atención: está siendo investigado por posibles nexos con grupos armados ilegales	Masculino	None	Circunscripción Territorial de Antioquia	Antioquia	Álvaro Araújo Castro
15	Tulio César	Bernal Bacca	Bernal Bacca, Tulio César	Conservador Colombiano	Conservador Colombiano, Partido Social de Unidad Nacional - Partido de la U	Cámara de Representantes	35501	Reemplazo temporal	Tercera	0	5	3823609/3610/3726	Masculino	None	Circunscripción Territorial de Boyacá	Boyacá	Antonio Valencia Duque
17	Jaime Ernesto	Canal Alban	Canal Alban, Jaime Ernesto	Alas Equipo Colombia	Alas Equipo Colombia, Conservador Colombiano-Movimiento de Salvación	Cámara de Representantes	85160	Titular de la curul	Segunda	0	61		Masculino	None	Circunscripción Territorial de Valle del Cauca	Valle del Cauca	Óscar de Jesús Suárez Mira
26	Marco Alirio	Cortés Torres	Cortés Torres, Marco Alirio	Partido Social de Unidad Nacional - Partido de la U	Partido Social de Unidad Nacional - Partido de la U	Senado	19688	Reemplazo permanente	Primera	0	14		Masculino	None	Circunscripción Nacional	Santander	Gina Parody D'Echeona
285	Olano	Portela Rodríguez	Portela Rodríguez, Olano	Liberal Colombiano	Liberal Colombiano, Partido Social de Unidad Nacional - Partido de la U	Senado	7285	Reemplazo permanente	Segunda	0	1		Masculino	None	Circunscripción Nacional	Risaralda	Martha Lucía Ramírez de Rincón
96	Juan Carlos	Vélez Uribe	Vélez Uribe, Juan Carlos	Partido Social de Unidad Nacional - Partido de la U	Partido Social de Unidad Nacional - Partido de la U	Senado	24246	Reemplazo permanente	Primera	5	41		Masculino	None	Circunscripción Nacional	Antioquia	Mauricio Pimiento Barrera
58	María Isabel	Mejía Marulanda	Mejía Marulanda, María Isabel	Liberal Colombiano	Liberal Colombiano, Partido Social de Unidad Nacional - Partido de la U	Cámara de Representantes	37140	Titular de la curul	Sexta	3	29		Femenino	None	Circunscripción Territorial de Risaralda	Risaralda	Carlos Armando García Orjuela
57	Jairo	Mantilla Colmenares	Mantilla Colmenares, Jairo	Liberal Colombiano	Liberal Colombiano, Partido Social de Unidad Nacional - Partido de la U	Senado	13115	Reemplazo permanente	Tercera	0	7		Masculino	None	Circunscripción Nacional	Distrito Capital	Zulema del Carmen Jattin Corrales
1271	Jorge Anibal	Visbal Martelo	Visbal Martelo, Jorge Anibal	Partido Social de Unidad Nacional - Partido de la U	Partido Social de Unidad Nacional - Partido de la U	Senado	26412	Reemplazo permanente	Tercera	1	14	Atención: investigado por posibles nexos con grupos armados ilegales	Masculino	None	Circunscripción Nacional	Sucre	Luis Guillermo Vélez Trujillo
919	Charles William	Schultz Navarro	Schultz Navarro, Charles William	Liberal Colombiano	Liberal Colombiano, Partido Social de Unidad Nacional - Partido de la U	Cámara de Representantes	38434	Reemplazo temporal	Tercera	0	1		Masculino	None	Circunscripción Territorial de Atlántico	Atlántico	Jorge Aníbal Visbal Martelo
5	Darío	Angarita Medellín	Angarita Medellín, Darío	Liberal Colombiano	Liberal Colombiano, Partido Social de Unidad Nacional - Partido de la U	Senado	18768	Reemplazo permanente		0	18		Masculino	None	Circunscripción Nacional	Distrito Capital	Adriana Gutiérrez Jaramillo
7	Ricardo	Arias Mora	Arias Mora, Ricardo	Partido Social de Unidad Nacional - Partido de la U	Coalición, Partido Social de Unidad Nacional - Partido de la U, Partido Social de Unidad Nacional - Partido de la U	Cámara de Representantes	24053	Titular de la curul	Segunda	1	34		Masculino	None	Circunscripción Territorial de Quindío	Quindío	Jairo Enrique Merlano Fernández
